item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,location_num,x,y,R,F,Monthly_Valuation,M,RFM_ID,Inventory_Tier,Z,ROP
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737,69,29.0,6.0,1,2,47285.55,2,122,Tier 4 (Low Priority),1.28,315.0
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507,16,24.0,40.0,2,4,87584.04,3,243,Tier 1 (Critical),2.33,127.0
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632,49,43.0,52.0,4,4,53311.61000000001,2,442,Tier 3 (High Volume),1.65,156.0
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66,11,68.0,37.0,4,4,45648.73,2,442,Tier 3 (High Volume),1.65,164.0
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553,71,68.0,11.0,4,3,94070.4,4,434,Tier 1 (Critical),2.33,453.0
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696,38,43.0,46.0,3,2,113923.5,4,324,Tier 2 (High Value),1.96,143.0
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273,81,63.0,6.0,2,1,16270.26,1,211,Tier 4 (Low Priority),1.28,137.0
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702,80,23.0,9.0,1,1,107456.46,4,114,Tier 2 (High Value),1.96,262.0
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,2024-04-10,137.39,0.561,47,83.0,41.0,2,2,44782.18,2,222,Tier 4 (Low Priority),1.28,224.0
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537,74,68.0,10.0,2,3,155065.34,4,234,Tier 1 (Critical),2.33,40.0
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,59.82,0.638,25,85.0,35.0,2,4,60635.340000000004,3,243,Tier 1 (Critical),2.33,21.0
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,2024-07-13,87.45,0.459,91,80.0,14.0,3,2,40105.14,2,322,Tier 4 (Low Priority),1.28,235.0
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73,9,23.0,35.0,4,3,49673.09999999999,2,432,Tier 4 (Low Priority),1.28,174.0
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718,6,83.0,53.0,2,4,31870.4,2,242,Tier 3 (High Volume),1.65,45.0
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647,85,67.0,22.0,3,2,85731.77,3,323,Tier 4 (Low Priority),1.28,47.0
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687,30,27.0,52.0,4,3,27335.05,1,431,Tier 4 (Low Priority),1.28,162.0
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,2024-12-01,13.25,0.421,99,45.0,12.0,4,2,56963.85,3,423,Tier 4 (Low Priority),1.28,225.0
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66,38,28.0,38.0,4,4,24924.42,1,441,Tier 3 (High Volume),1.65,134.0
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563,11,63.0,50.0,2,1,73549.28,3,213,Tier 4 (Low Priority),1.28,68.0
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651,30,29.0,47.0,2,2,9692.9,1,221,Tier 4 (Low Priority),1.28,173.0
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657,13,65.0,42.0,3,2,11719.66,1,321,Tier 4 (Low Priority),1.28,242.0
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72,49,60.0,41.0,4,4,51632.35,2,442,Tier 3 (High Volume),1.65,49.0
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503,36,20.0,42.0,3,2,68093.1,3,323,Tier 4 (Low Priority),1.28,231.0
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567,59,64.0,24.0,3,3,36083.77999999999,2,332,Tier 4 (Low Priority),1.28,284.0
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577,82,48.0,14.0,1,3,28433.28,1,131,Tier 4 (Low Priority),1.28,20.0
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586,47,61.0,35.0,2,2,21118.299999999996,1,221,Tier 4 (Low Priority),1.28,199.0
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,2024-03-27,166.46,0.503,21,47.0,42.0,1,2,21428.52,1,121,Tier 4 (Low Priority),1.28,43.0
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494,48,45.0,35.0,1,1,103911.48,4,114,Tier 2 (High Value),1.96,173.0
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394,46,65.0,49.0,3,1,30560.46,2,312,Tier 4 (Low Priority),1.28,143.0
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483,27,88.0,50.0,3,4,66606.0,3,343,Tier 1 (Critical),2.33,71.0
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483,86,47.0,12.0,2,3,146456.14,4,234,Tier 1 (Critical),2.33,155.0
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689,35,48.0,39.0,3,4,57844.44,3,343,Tier 1 (Critical),2.33,210.0
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521,90,25.0,8.0,4,2,43323.26,2,422,Tier 4 (Low Priority),1.28,23.0
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546,88,49.0,13.0,1,2,29031.120000000003,2,122,Tier 4 (Low Priority),1.28,349.0
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653,83,46.0,14.0,3,2,45697.29,2,322,Tier 4 (Low Priority),1.28,149.0
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,2024-01-18,206.64,0.453,10,45.0,53.0,1,1,128541.34999999999,4,114,Tier 2 (High Value),1.96,53.0
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2024-02-08,10.78,0.543,78,47.0,17.0,1,4,84312.23999999999,3,143,Tier 1 (Critical),2.33,60.0
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,2024-12-08,19.26,0.626,82,82.0,15.0,4,3,19765.4,1,431,Tier 4 (Low Priority),1.28,125.0
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22,B,16,1.0,159.61,1.24,3,0.91,418,7.73,0.83,2024-01-25,251.79,0.667,22,40.0,53.0,1,2,78071.78000000001,3,123,Tier 4 (Low Priority),1.28,72.0
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,2024-01-04,83.26,0.698,69,68.0,23.0,1,4,35122.06,2,142,Tier 3 (High Volume),1.65,22.0
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,2024-07-30,33.56,0.506,94,86.0,21.0,3,2,78936.72,3,323,Tier 4 (Low Priority),1.28,70.0
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32,B,104,4.44,21.67,0.53,9,0.98,301,14.27,0.86,2024-03-11,125.85,0.725,32,48.0,52.0,1,4,11563.810000000001,1,141,Tier 3 (High Volume),1.65,373.0
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,2024-11-18,24.78,0.392,21,62.0,53.0,4,1,56228.78,3,413,Tier 4 (Low Priority),1.28,43.0
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,2024-04-28,227.62,0.526,60,67.0,22.0,2,4,66076.06,3,243,Tier 1 (Critical),2.33,138.0
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1.0,475,12.42,0.67,2024-02-04,153.3,0.777,49,84.0,39.0,1,4,28796.55,1,141,Tier 3 (High Volume),1.65,173.0
ITM10102,Pharma,42,39,5,4,22.29,9.1,0.72,L35,D,154,1.55,67.64,0.14,0,0.92,344,5.97,0.88,2024-12-28,170.06,0.826,35,86.0,49.0,4,2,23977.760000000002,1,421,Tier 4 (Low Priority),1.28,101.0
ITM10103,Apparel,51,39,3,6,17.98,2.02,0.17,L82,C,28,4.88,176.08,0.93,7,0.82,880,9.34,0.26,2024-03-18,228.37,0.508,82,66.0,16.0,1,3,160667.7,4,134,Tier 1 (Critical),2.33,113.0
ITM10104,Electronics,465,31,4,4,1.94,0.77,0.5,L89,D,104,3.07,108.42,1.61,8,0.98,691,13.1,0.28,2024-01-05,237.49,0.506,89,83.0,12.0,1,4,99499.09,4,144,Tier 1 (Critical),2.33,10.0
ITM10105,Automotive,93,84,8,9,41.44,9.13,0.19,L72,D,48,4.58,40.0,0.16,7,0.73,334,7.74,0.43,2024-04-21,49.51,0.579,72,85.0,12.0,2,2,15336.119999999999,1,221,Tier 4 (Low Priority),1.28,385.0
ITM10106,Groceries,29,75,14,3,7.99,8.31,0.64,L29,A,126,4.37,157.15,1.71,0,0.73,366,1.71,0.48,2024-09-15,91.28,0.494,29,29.0,46.0,3,1,60604.02,3,313,Tier 4 (Low Priority),1.28,35.0
ITM10107,Pharma,475,21,12,9,16.17,9.74,0.35,L88,D,45,2.0,49.61,0.83,5,0.9,561,13.65,0.87,2024-08-21,60.94,0.753,88,87.0,5.0,3,4,40780.71,2,342,Tier 3 (High Volume),1.65,162.0
